TX_FLD_NAM,TX_FLD_DESC_EN,TX_FLD_DESC_NL,TX_FLD_DESC_FR,TX_FLD_TPE,TX_FLD_CNTNT,TX_MANDATORY,TX_CONTAINER,TX_DB2_TBL,TX_DB2_FLD,TX_TO_RESEARCH,TX_REMARK,TX_D_START,TX_D_END,TX_RELEASE
tx_gp_name,,Naam van de praktijk,Nom du cabinet,,,,,,tx_gp_name,,,,,
tx_email,,E-mailadres,Adresse e-mail,,,,,,tx_email,,,,,
tx_gp_postal_code,,Postcode van de gemeente waarin de praktijk zich bevindt,Code postal du cabinet,,,,,,tx_gp_postal_code,,,,,
cd_prof_circle,,Lid van huisartsenkring,Membre du Cercle de Médecins Généralistes,,,,,,cd_prof_circle,,Now contains 'Andere'. The value will be the code (if code was selected) or free text (if 'Andere / Autre' was selected).,,,
tx_prof_circle,,,,,,,,,tx_prof_circle,,"This field is removed from data entry, not from data flow",,,
nr_num_gp_providers,,Aantal huisartsen of HAIO’s werkzaam in de praktijk,Nombre de médecins ou assistants en médecine générale dans le cabinet,,,,,,nr_num_gp_providers,,,,,
nr_num_gp_providers_absent,,Aantal huisartsen of HAIO’s die ziek zijn en niet kunnen werken,Nombre de médecins ou HIO qui sont malades et ne peuvent pas travailler,,,,,,nr_num_gp_providers_absent,,,,,
fl_critical_tasks_completed,,Mijn kritische taken voor de dag werden uitgevoerd.,Mes tâches essentielles de la journée sont exécutées.,,0: Niet akkoord|Pas d'accord  1: Akkoord|D'accord,,,,fl_critical_tasks_completed,,,,,
tx_critical_tasks_comments,,Opmerkingen,Remarques,,,,,,tx_critical_tasks_comments,,,,,
fl_quality_standard,,Uitvoering gebeurt volgens de verwachte standaard,Je peux exécuter mes taches selon la norme attendue.,,0: Niet akkoord|Pas d'accord  1: Akkoord|D'accord,,,,fl_quality_standard,,,,,
tx_quality_comments,,Opmerkingen,Remarques,,,,,,tx_quality_comments,,,,,
fl_help_needed,,Ik heb hulp nodig,J'ai besoin d'aide.,,0: Geen hulp nodig|Aucune aide nécessaire  1: Hulp nodig|Besoin d'aide,,,,fl_help_needed,,,,,
tx_help_needed_comments,,Opmerkingen,Remarques,,,,,,tx_help_needed_comments,,,,,
fl_capacity_next_day,,Ik denk dat we voldoende capaciteit hebben (mensen & materiaal) om alle taken van morgen uit te voeren.,Je pense que nous avons suffisamment de ressources (personnel et équipement) pour gérer la charge de travail de demain.,,0: Niet akkoord|Pas d'accord  1: Akkoord|D'accord,,,,fl_capacity_next_day,,,,,
tx_capacity_next_day_comments,,Opmerkingen,Remarques,,,,,,tx_capacity_next_day_comments,,,,,
fl_capacity_next_week,,Ik denk dat we voldoende capaciteit hebben (mensen & materiaal) om alle taken van de komende week uit te voeren.,Je pense que nous avons suffisamment de ressources (personnel et équipement) pour gérer la charge de travail de la semaine prochaine,,0: Niet akkoord|Pas d'accord  1: Akkoord|D'accord,,,,fl_capacity_next_week,,,,,
tx_capacity_next_week_comments,,Opmerkingen,Remarques,,,,,,tx_capacity_next_week_comments,,,,,
nr_num_consultations_phone,,Hoeveel telefonische consultaties hebt u vandaag gedaan?,Combien de consultations téléphoniques avez-vous eues aujourd'hui?,,,,,,nr_num_consultations_phone,,,,,
nr_num_consultations_phys,,Hoeveel fysieke consultaties hebt u vandaag gedaan?,Combien de consultations physiques avez-vous eues aujourd'hui?,,,,,,nr_num_consultations_phys,,,,,
nr_num_patients_triage,,Hoeveel patiënten hebt u vandaag doorverwezen naar de covid19 triage post?,Combien de patients avez-vous référés au poste de triage covid19 aujourd'hui?,,,,,,nr_num_patients_triage,,,,,
nr_num_patients_emergency,,Hoeveel potentiële covid19 patiënten hebt u vandaag doorverwezen naar spoed?,Combien de patients potentiels de covid19 avez-vous référés aux urgences aujourd'hui?,,,,,,nr_num_patients_emergency,,,,,
cd_num_respiratory_consultations,,Hoeveel % van uw consultaties hebben betrekking op luchtweg klachten?,Quel pourcentage de vos consultations est lié à des troubles respiratoires?,,0: 0%  1: 10%  2: 20%  3: 30%  4: 40%  5: 50%  6: 60%  7: 70%  8: 80%  9: 90%  10: 100%,,,,cd_num_respiratory_consultations,,,,,
cd_extra_load,,Hoe groot is de extra belasting voor u als huisarts(enpraktijk) op dit moment?	,Quelle est la charge supplémentaire pour vous et votre cabinet en ce moment?,,1: Verlaagd|Diminuée  2: Normaal|Normale  3: Verhoogd|Augmentée  4: Sterk verhoogd|Fortement augmentée  5: Onhoudbaar hoog|Intensément élevée,,,,cd_extra_load,,,,,
cd_alc_hand_disinfectant,,Alcoholische handontsmetting,Désinfectant alcoolisé pour les mains,,1: Groot tekort|Grande pénurie  2: Klein tekort|Petite pénurie  3: Klein overschot|Petit surplus   4: Groot overshot|Grand surplus,,,,cd_alc_hand_disinfectant,,,,,
nr_num_alc_hand_disinfectant,,Geef aan hoeveel eenheden u voor uw praktijk extra nodig denkt te hebben om de komende 30 dagen te overbruggen:  ..... flacon(s) alcoholische handontsmetting (500ml),Indiquez le nombre d'unités nécessaires à votre cabinet pour combler les 30 prochains jours:  ..... flacon(s) désinfectant alcoolisé pour les mains (500 ml),,,,,,nr_num_alc_hand_disinfectant,,,,,
cd_surgical_masks,,Gewone chirurgische schorten,Masques chirurgicaux ordinaires,,1: Groot tekort (max 2 maskers per arts)|Grande pénurie  2: Klein tekort (3-7 maskers per arts)|Petite pénurie  3: Klein overschot  (8-14 maskers per arts)|Petit surplus   4: Groot overshot (>14 maskers per arts)|Grand surplus,,,,cd_surgical_masks,,,,,
nr_num_surgical_masks,,Geef aan hoeveel eenheden u voor uw praktijk extra nodig denkt te hebben om de komende 30 dagen te overbruggen:  ..... gewone chirurgische schorten,Indiquez le nombre d'unités nécessaires à votre cabinet pour combler les 30 prochains jours:  ..... masques chirurgicaux ordinaires,,,,,,nr_num_surgical_masks,,,,,
cd_infection_masks,,schorten geschikt te gebruiken bij infecties (FFP2 en co),Masques adaptés aux infections (FFP2 et co),,1: Groot tekort (max 2 maskers per arts)|Grande pénurie  2: Klein tekort (3-7 maskers per arts)|Petite pénurie  3: Klein overschot  (8-14 maskers per arts)|Petit surplus   4: Groot overshot (>14 maskers per arts)|Grand surplus,,,,cd_infection_masks,,,,,
nr_num_infection_masks,,Geef aan hoeveel eenheden u voor uw praktijk extra nodig denkt te hebben om de komende 30 dagen te overbruggen:  ..... masker(s) geschikt te gebruiken bij infecties (FFP2 en co),Indiquez le nombre d'unités nécessaires à votre cabinet pour combler les 30 prochains jours:  ..... masque(s) adapté(s) aux infections (FFP2 et co),,,,,,nr_num_infection_masks,,,,,
cd_infection_gloves,,Handschoenen geschikt te gebruiken bij infecties,Gants adaptés aux infections,,1: Groot tekort|Grande pénurie  2: Klein tekort|Petite pénurie  3: Klein overschot|Petit surplus   4: Groot overshot|Grand surplus,,,,cd_infection_gloves,,,,,
nr_num_infection_gloves,,Geef aan hoeveel eenheden u voor uw praktijk extra nodig denkt te hebben om de komende 30 dagen te overbruggen:        ..... verpakking(en) van 100 handschoenen geschikt te gebruiken bij infecties,Indiquez le nombre d'unités nécessaires à votre cabinet pour combler les 30 prochains jours:  ..... emballage(s) de 100 gants adaptés aux infections,,,,,,nr_num_infection_gloves,,,,,
cd_infection_aprons,,Schorten geschikt te gebruiken bij infecties,Tabliers adaptés aux infections,,1: Groot tekort (max 2 schorten per arts)|Grande pénurie  2: Klein tekort (3-7 schorten per arts)|Petite pénurie  3: Klein overschot  (8-14 schorten per arts)|Petit surplus   4: Groot overshot (>14 schorten per arts)|Grand surplus,,,,cd_infection_aprons,,,,,
nr_num_infection_aprons,,Geef aan hoeveel eenheden u voor uw praktijk extra nodig denkt te hebben om de komende 30 dagen te overbruggen:  ..... schort(en) geschikt te gebruiken bij infecties,Indiquez le nombre d'unités nécessaires à votre cabinet pour combler les 30 prochains jours:  .....  tablier(s) adaptés aux infections,,,,,,nr_num_infection_aprons,,,,,
cd_infection_screen,,Bril/scherm geschikt te gebruiken bij infecties,Lunettes / écrans adéquats contre les infections,,1: Groot tekort|Grande pénurie  2: Klein tekort|Petite pénurie  3: Klein overschot|Petit surplus   4: Groot overshot|Grand surplus,,,,cd_infection_screen,,,,,
nr_num_infection_screen,,Geef aan hoeveel eenheden u voor uw praktijk extra nodig denkt te hebben om de komende 30 dagen te overbruggen:  ..... bril(len)/scherm(en) geschikt te gebruiken bij infecties,Indiquez le nombre d'unités nécessaires à votre cabinet pour combler les 30 prochains jours:  ..... lunettes(s) / écran(s) adéquats contre les infections,,,,,,nr_num_infection_screen,,,,,
cd_niss,,"NO QUESTION, TECHNICAL FIELD: NISS CODE OF REGISTERING PERSON","NO QUESTION, TECHNICAL FIELD",,,,,,cd_niss,,"NO QUESTION, TECHNICAL FIELD",,,
tx_gp_prof_circle,,Dataflow field based on postal code,Dataflow field based on postal code,,,,,,tx_gp_prof_circle,,,,,
